,n,m,i,t,prob_size
0,10,14,0,0.43731212615966797,140
1,10,14,1,1.0430047512054443,140
2,10,14,2,1.473449468612671,140
3,10,14,3,3.3537824153900146,140
4,10,14,4,4.8182291984558105,140
5,10,14,5,0.856499433517456,140
6,10,14,6,1.0522425174713135,140
7,10,14,7,2.373690366744995,140
8,10,14,8,2.560347080230713,140
9,10,14,9,1.0198979377746582,140
10,10,14,10,0.41313672065734863,140
11,10,14,11,1.0681860446929932,140
12,10,14,12,20.42479681968689,140
13,10,14,13,2.868011713027954,140
14,10,14,14,0.9098420143127441,140
15,10,14,15,1.8046979904174805,140
16,10,14,16,0.8378231525421143,140
17,10,14,17,35.77011799812317,140
18,10,14,18,1.0108356475830078,140
19,10,14,19,0.7827658653259277,140
20,10,14,20,1.4084174633026123,140
21,10,14,21,8.621549129486084,140
22,10,14,22,2.2555041313171387,140
23,10,14,23,0.6762754917144775,140
24,10,14,24,1.5845327377319336,140
25,10,15,0,1.0203862190246582,150
26,10,15,1,3.581156015396118,150
27,10,15,2,1.305128574371338,150
28,10,15,3,0.9808926582336426,150
29,10,15,4,2.948983907699585,150
30,10,15,5,1.506840467453003,150
31,10,15,6,10.881057739257812,150
32,10,15,7,8.47830319404602,150
33,10,15,8,1.540219783782959,150
34,10,15,9,1.9399197101593018,150
35,10,15,10,3.6012303829193115,150
36,10,15,11,0.6990542411804199,150
37,10,15,12,1.5507698059082031,150
38,10,15,13,0.6976199150085449,150
39,10,15,14,1.369905710220337,150
40,10,15,15,3.787832498550415,150
41,10,15,16,1.1500959396362305,150
42,10,15,17,1.3175575733184814,150
43,10,15,18,0.7563209533691406,150
44,10,15,19,0.5821399688720703,150
45,10,15,20,2.2440314292907715,150
46,10,15,21,0.8252379894256592,150
47,10,15,22,28.23169708251953,150
48,10,15,23,2.406376361846924,150
49,10,15,24,1.7568562030792236,150
50,10,16,0,3.4354498386383057,160
51,10,16,1,1.0997366905212402,160
52,10,16,2,5.800245761871338,160
53,10,16,3,3.4135639667510986,160
54,10,16,4,3.0668771266937256,160
55,10,16,5,1.1585955619812012,160
56,10,16,6,0.9755725860595703,160
57,10,16,7,6.3612425327301025,160
58,10,16,8,0.7144820690155029,160
59,10,16,9,3.1477925777435303,160
60,10,16,10,0.4258573055267334,160
61,10,16,11,1.3438382148742676,160
62,10,16,12,10.31746530532837,160
63,10,16,13,6.227539300918579,160
64,10,16,14,3.854464292526245,160
65,10,16,15,5.835934162139893,160
66,10,16,16,71.96357822418213,160
67,10,16,17,1.0149731636047363,160
68,10,16,18,1.096949577331543,160
69,10,16,19,2.204979658126831,160
70,10,16,20,14.394482135772705,160
71,10,16,21,8.669860601425171,160
72,10,16,22,3.7119131088256836,160
73,10,16,23,1.403071403503418,160
74,10,16,24,0.6977143287658691,160
75,10,17,0,1.6236763000488281,170
76,10,17,1,2.3234286308288574,170
77,10,17,2,4.442829370498657,170
78,10,17,3,1.2150275707244873,170
79,10,17,4,2.8946430683135986,170
80,10,17,5,1.7818989753723145,170
81,10,17,6,1.6185991764068604,170
82,10,17,7,0.8682858943939209,170
83,10,17,8,59.57831692695618,170
84,10,17,9,1.9858012199401855,170
85,10,17,10,0.5799565315246582,170
